site,data_coleta,titulo,endereco,valores,atributos,descricao
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Sítio Cercado em Curitiba, 105 m²
              ","
                Rua Agenor Antônio Rodrigues, 617, Sítio Cercado - Curitiba
                ","Aluguel R$ 2.190,00 Seguro Incêndio R$ 39,14Total R$ 2.229,14","105 m², 1 banheiro, 1 vaga, 4 quartos","
                          Apartamento com
                          4 quartos
                          no Bairro Sítio Cercado
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Lindo apartamento duplex muito bem localizado, no bairro Sítio Cercado em Curitiba, com aproximadamente 105,86 m² em frente ao JBB Sports contendo: Piso inferior:Copa e cozinha com piso porcelanato, com bom espaço de circulação, revestida em azulejo, lavanderia , banheiro, sala para dois ambientes com piso porcelanato, e 2 dormitórios com piso porcelanatoPiso superior:  Contendo mais 1 banheiro social, e 2 dormitórios com piso porcelanato. Vantagens:Imóvel pronto para morarExcelente região da cidadeEnsolaradoProximidade:JBB SportsAcademia Entre ElasMercado GomesPague Menos Materiais de ConstruçãoInformações Adicionais:Aptos por andar: 2ºAquecimento: Elétrico Área total: 105,86 m²Área privativa: 105,86  m²Elevador: Não Garagem: 1 vaga CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Centro em Curitiba, 100 m²
              ","
                Rua Saldanha Marinho, 689, Centro - Curitiba
                ","Aluguel R$ 2.170,00 Condomínio R$ 210,00 Seguro Incêndio R$ 39,14Total R$ 2.419,14","100 m², 1 banheiro, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Centro
                      Imóvel com gestão exclusiva ApolarApartamento com excelente localização, no Centro de Curitiba, contendo: - Sala ampla para dois ambientes, com piso parquet- Cozinha com piso e revestimento cerâmico - Área de serviço com tanque    - 3 Dormitórios, todo com piso parquet, tendo todos com armários   - Bwc social com box, espelho,  Vantagens:Local seguro.Região com toda infraestrutura de transportes, serviço e área comercial Área comum:Portaria 24 horasProximidades:Hospital De Olhos Do ParanáSesc Da Esquina  Informações Adicionais:Área total: 100,50 m²Área privativa: 100,50 m²Suite: Não Aquecimento: Elétrico  Elevador: Não  Garagem: Não  CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cristo Rei em Curitiba, 63 m²
              ","
                Rua Governador Agamenon Magalhães, 145, Cristo Rei - Curitiba
                ","Aluguel R$ 2.150,00 Seguro Incêndio R$ 28,60Total R$ 2.178,60","63 m², 1 vaga, 1 quarto","
                          Apartamento com
                          1 quarto
                          no Bairro Cristo Rei
                      Imóvel com gestão exclusiva ApolarAPARTAMENTO, CONTENDO:- SALA PARA 2 AMBIENTES, COM SACADA, SUPORTE PARA TV, BALCÃO E ESPELHO- DORMITÓRIO COM ARMÁRIO, CABECEIRA E RACK- BWC SOCIAL COM BOX, CHUVEIRO E PIA COM BALCÃO- COZINHA COM ARMÁRIOS, COOK TOP, MICROONDAS E COIFA- LAVANDERIA COM ARMÁRIOS, TANQUE E BALCÃO- GARAGEM COBERTA COM VAGA PARA 1 VEÍCULO, N.95- INTERFONE, PORTARIA, ELEVADOR E CENTRAL DE GÁS- ÁREA DE LAZER, CONTENDO: PISCINA, SALÃO DE FESTAS, SALA DE GINÁSTICA, QUADRA ESPORTIVA, CHURRASQUEIRA E PLAYGROUND CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Centro em Curitiba, 50 m²
              ","
                Rua Doutor Pedrosa, 445, Centro - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 790,00 Seguro Incêndio R$ 26,26Total R$ 2.916,26","50 m², 1 banheiro, 1 vaga, 1 quarto","
                          Apartamento com
                          1 quarto
                          no Bairro Centro
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Excelente apartamento de 1 dormitório mobiliado no centro de Curitiba oferece:Sala com espaço para 2 ambientes, piso laminado, persianas, luminária e saída para sacada.Sacada com piso cerâmico e toda fechada com vidro temperado.Cozinha com piso cerâmico, azulejos ate o teto, armários planejados, pia de granito com gabinete, Cook top, forno elétrico, persianas e luminária.Área de serviço com piso cerâmico, azulejos ate o teto e tanque de lavar roupas de granito.Área de circulação com piso laminado e armário de 2 portas com espelho e iluminação dicroica.Dormitório com piso laminado, armário, luminária e persianas.Banheiro social com piso em porcelanato, azulejos ate o teto, pia de granito com gabinete, espelho, portas toalhas, box de vidro temperado e chuveiro.O apartamento possui 1 vaga de garagem coberta.Portaria 24 horasManobrista 24 horas.Vantagens:Local calmo e seguro.Região com toda infraestrutura de transporte, bancos, serviços e área comercial.Área comum:Salão de festa, academia, piscina aquecida, sauna, home-office, sala de reuniões, 2 churrasqueiras, espaço pizza, home-teacher.Proximidades:Shopping Crystal, Unimed Curitiba, SecoviMed-Pr.Informações Adicionais:Andar:23 de 25Apto.por andar: 3Aquecimento: GásÁrea total: 50 m²Área privativa: 44 m²Elevador: SimEdifício: Orbit.Entre Ruas: Des. Motta e Brigadeiro Franco.Garagem: SimCondomínio de responsabilidade do inquilino. CRECI: J-00158"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Bacacheri em Curitiba, 48 m²
              ","
                Rua Estados Unidos, 1291, Bacacheri - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 434,15 Seguro Incêndio R$ 26,26Total R$ 2.560,41","48 m², 1 quarto","
                          Apartamento com
                          1 quarto
                          no Bairro Bacacheri
                      Imóvel com gestão exclusiva ApolarEXCELENTE APARTAMENTO TOTALMENTE MOBILIADO NO BAIRRO BACACHERI EM CURITIBA, CONTENDO- HALL DE ENTRADA- SALA DE ESTAR COM ESTOFADO, PAINEL PARA TV, TAPETE, QUADROS E CORTINAS E 1 TV DE LCD- SACADA INTEGRADA COM CHURRASQUEIRA- 1 DORMITÓRIO AMPLO COM SUITE, ARMÁRIOS PLANEJADOS, CAMA BOX DE CASAL, CRIADO MUDO, PAINEL PARA TV, ESPELHO E CORTINAS- BWC PRIVATIVO COM BOX EM VIDRO TEMPERADO, DUCHA, ARMÁRIO, LAVATÓRIO EM PORCELANA E GRANITO, ESPELHO, PISO EM PORCELANATO E REVESTIMENTO CERÂMICO- COZINHA PLANEJADA COMPLETA COM COOKTOP, MICROONDAS, GELADEIRA DUPLEX, MAQUINA DE LAVAR E SECAR, ARMÁRIOS, MESA EMBUTIDA COM 2 CADEIRAS, PISO EM PORCELANATO- AQUECEDOR DIGITAL E CORTINAS- CONDOMÍNIO OFERECE- PORTARIA ELETRÔNICA- ELEVADOR  CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Juvevê em Curitiba, 134 m²
              ","
                Rua Simão Bolivar, 631, Juvevê - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 316,73 Seguro Incêndio R$ 46,16Total R$ 2.462,89","134 m², 2 banheiros, 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Juvevê
                      Imóvel com gestão exclusiva ApolarAPARTAMENTO EM EXCELENTE LOCALIZAÇÃO NO BAIRRO JUVEVÊ, CONTENDO:- SALA AMPLA E AREJADA PARA 03 AMBIENTES COM PISO LAMINADO;- 03 DORMITÓRIOS COM ARMÁRIOS E PISO LAMINADO;- COZINHA COM ARMÁRIOS;- ÁREA DE SERVIÇO COM TANQUE E DESPENSA;- 02 BANHEIROS SOCIAIS COMPLETOS;- 01 VAGA DE GARAGEM- PRÉDIO NÃO TEM ELEVADOR CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cidade Industrial em Curitiba, 72 m²
              ","
                Rua João Bettega, 4301, Cidade Industrial - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 645,09 Seguro Incêndio R$ 30,94Total R$ 2.776,03","72 m², 2 banheiros, 2 vagas, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Cidade Industrial
                      Imóvel com gestão exclusiva ApolarMorar em um apartamento de três quartos no CIC (Cidade Industrial de Curitiba) pode proporcionar uma experiência única, que combina as características de um apartamento com a dinâmica de uma das regiões industriais mais importantes de Curitiba.O condomínio clube completo, que conta com diversas opções de lazer como piscina descoberta, quadras poliesportivas, salão de festas, academia equipada, sala de jogos e quiosques com churrasqueira.Características: Ótimo apartamento.Sala ampla e arejada, teto rebaixado, piso de madeira;Cozinha com piso em cerâmica; Três dormitório um sendo suíte;Área de serviço separada da cozinha, piso em cerâmica, tanque;O Banheiro com box de vidro, pia em mármore, piso em cerâmicaAquecimento a gás;Duas vagas Garagem.Vantagens:Ótima localização, O bairro oferece uma ampla gama de serviços, como supermercados, farmácias, academias entre outros comércios locais. Proximidades:CMEI Rondon, Escola Municipal Dom Bosco, CMEI Barigui.Área Comum: Portaria 24h;Academia;Piscina;Quadra Esportiva;Salão de Festa;Playground;Salão de Jogos;Espaço Gourmet;Informações Adicionais:Área total: 72,47 m²Área útil:  61,18m²Garagem: sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Bacacheri em Curitiba, 110 m²
              ","
                Rua Cláudio Chatagnier, 550, Bacacheri - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 583,00 Seguro Incêndio R$ 39,14Total R$ 2.722,14","110 m², 2 banheiros, 2 vagas, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Bacacheri
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Sala ampla com espaço para dois ambientes;Cozinha com pia;Área de Serviço com tanque e varal;Dormitório I com persianas;Suíte;Bwc Suíte com box de vidro;Dormitório II;Bwc Social; CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Novo Mundo em Curitiba, 93 m²
              ","
                Rua Serafim França, 54, Novo Mundo - Curitiba
                ","Aluguel R$ 2.100,00 Seguro Incêndio R$ 35,63Total R$ 2.135,63","93 m², 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Novo Mundo
                      Imóvel com gestão exclusiva ApolarAPARTAMENTO SEMI MOBILIADO LOCALIZADO NO BAIRRO NOVO MUNDO EM CURITIBA, CONTENDO:- SALA PARA 2 AMBIENTES COM SACADA E PAINEL PARA TV- 3 DORMITÓRIOS SENDO 1 SUITE E 1 COM ARMÁRIOS PLANEJADOS- BWC SOCIAL COM BOX EM VIDRO, PIA E ESPELHO- COZINHA COM ARMÁRIOS PLANEJADOS, COOK TOP E PIA COM BALCÃO EM MÁRMORE- LAVANDERIA COM TANQUE E CENTRAL DE GÁS- TERRAÇO NA LAVANDERIA- 1 VAGA DE GARAGEM DUPLA, COBERTA N°45*CONDOMÍNIO OFERECE:- INTERFONE- PORTARIA- ELEVADOR- SALÃO DE FESTAS CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Vila Izabel em Curitiba, 63 m²
              ","
                Rua Guararapes, 1391, Vila Izabel - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 528,17 Seguro Incêndio R$ 28,60Total R$ 2.656,77","63 m², 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Vila Izabel
                      Imóvel com gestão exclusiva Apolar— LINDO APARTAMENTO SEMI MOBILIADO, LOCALIZADO EM RUA DE ACESSO privilegiado — SALA COM MESA EM VIDROS, 4 CADEIRAS ESTOFADAS, ESPELHOS, 1 POLTRONA, 2 BANQUETAS, SOFÁ E RACK— QUARTO 2 COM BI CAMA — BANHEIRO SOCIAL — COZINHA COM GELADEIRA DUPLEX, armários PLANEJADOS, FOGÃO DE 4 BOCAS E FILTRO— LAVANDERIA COM MÁQUINA E TANQUE— AQUECIMENTO A GÁS  CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Água Verde em Curitiba, 102 m²
              ","
                Rua Bento Viana, 553, Água Verde - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 687,65 Seguro Incêndio R$ 39,14Total R$ 2.826,79","102 m², 1 banheiro, 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Água Verde
                      Imóvel com gestão exclusiva ApolarCaracterísticas: Apartamento com excelente localização, no Bairro Água Verde. Contendo: Sala para dois ambientesSacada Cozinha Área de serviço Banheiro social com box de vidro Dois dormitórios Uma vaga de garagem Vantagens: Excelente localização, região bem estruturada com várias opções de comércio. Proximidades: Praça do Japão, Arena da baixadaInformações Adicionais: Andar: 1°Aptos por andar: 4 Aquecimento: elétrico Área total: 102,05m²Área privativa: 51,47m²Elevador: Não Edifício: Celize Entre Ruas: Pres. Getúlio Vargas e Iguaçú Garagem: Sim **OBS: VALOR DE IPTU 2024 AINDA NÃO ESTÁ DISPONÍVEL, ASSIM QUE DISPONIBILIZAR SERÁ LANÇADO**  CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Xaxim em Curitiba, 89 m²
              ","
                Rua David Tows, 890, Xaxim - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 438,60 Seguro Incêndio R$ 34,45Total R$ 2.573,05","89 m², 2 banheiros, 1 vaga, 3 quartos, pet","
                          Apartamento com
                          3 quartos
                          no Bairro Xaxim
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Apartamento muito bem localizado no bairro Xaxim em Curitiba, pronto para morar próximo ao Supermercados Jacomar, com aproximadamente 89,91 m² de área total com:Cozinha com bom espaço de circulação, revestido em azulejo, com armários sob medida, fogão cooktop, coifa,  área de serviço com tanque e aquecedor a gás, sala para dois ambientes, com piso porcelanato, 3 dormitórios sendo uma suíte, todos com armários sob medida.Banheiro social com box de vidro e ducha. Vantagens:Imóvel pronto para morarExcelente região da cidadeEnsolaradoÁrea Comum:Portaria 24hAcademiaCancha Esportiva Playground Proximidades:Supermercados JacomarApolar Imóveis Xaxim Academia PH.D Xaxim Campo dos amigos Informações Adicionais:Aptos por andar: 1ºAquecimento: A gásÁrea total:   89,91 m²Área privativa: 64,18  m²Elevador: NãoSuite: SimEdifício:  Premier Residence Garagem: 1 Vaga   CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Capão Raso em Curitiba, 45 m²
              ","
                Rua Marechal Octávio Saldanha Mazza, 6650, Capão Raso - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 578,10 Seguro Incêndio R$ 26,26Total R$ 2.704,36","45 m², 1 vaga, 2 quartos, pet","
                          Apartamento com
                          2 quartos
                          no Bairro Capão Raso
                      Imóvel com gestão exclusiva Apolar- LINDO APARTAMENTO EM CONDOMÍNIO FECHADO LOCALIZADO NO BAIRRO CAPÃO RASO EM CURITIBA, CONTENDO:- SALA ENSOLARADA;- COZINHA ESTILO AMERICANA COM ARMÁRIOS;- ÁREA DE SERVIÇO AREJADA COM TANQUE;- BWC SOCIAL COM BOX DE VIDRO E ARMÁRIO;- 02 DORMITÓRIOS ENSOLARADOS COM ARMÁRIOS;- CONDOMÍNIO COM AMPLA ÁREA DE LAZER COM ESPAÇO PET, SALÃO DE FESTAS, CHURRASQUEIRA, PLAYGROUND, PORTARIA 24HRS EM EXCELENTE LOCALIZAÇÃO;- POSSUI 01 VAGA DE GARAGEM COBERTA E NUMERADA; CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Juvevê em Curitiba, 141 m²
              ","
                Rua Manoel Eufrásio, 293, Juvevê - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 1.700,00 Seguro Incêndio R$ 48,51Total R$ 3.848,51","141 m², 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Juvevê
                      Imóvel com gestão exclusiva ApolarEXCELENTE APARTAMENTO LOCALIZADO PRÓXIMO AOS PRINCIPAIS COMÉRCIOS DA REGIÃO DO JUVEVÊ. - SALA AMPLA E AREJADA PARA DOIS AMBIENTES COM VIDROS EM TODA EXTENSÃO- SACADA AMPLA E COM TELA DE PROTEÇÃO- LAVABO- DOIS QUARTOS, SENDO UMA SUÍTE COM ARMÁRIO EMBUTIDO- O OUTRO QUARTO POSSUI CLOSET- BANHEIRO SOCIAL - COZINHA AMPLA COM ARMÁRIOS E COOKTOP 4 BOCAS- LAVANDERIA COM TANQUE- SAÍDA DE SERVIÇO - DEPENDENCIA DE EMPREGADA COM GUARDA-ROUPA E BANHEIRO. CRECI: J-04136"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Juvevê em Curitiba, 128 m²
              ","
                Rua Elbe Pospissil, 41, Juvevê - Curitiba
                ","Aluguel R$ 2.100,00 Condomínio R$ 550,00 Seguro Incêndio R$ 43,82Total R$ 2.693,82","128 m², 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Juvevê
                      Imóvel com gestão exclusiva ApolarExcelente Apartamento no juvevê, localizado em uma tradicional rua do bairro, sem saída e tranquila. O imóvel conta com:- Sala de estar para 02 ambientes- Sacada com churrasqueira a carvão- 02 Dormitórios, sendo 01 suíte e 01 com armários- Bwc da suíte e social com armários, ambos com box de vidro - Bwc de serviço- Cozinha com armários, tampo em granito- Área de serviço com tanque, - Aquecimento a gás- Esquadrias em alumínio - Lavabo- 01 Vaga de garagem individual- Elevador- Área total de 128 m² Ótima oportunidade CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cristo Rei em Curitiba, 38 m²
              ","
                Rua Governador Agamenon Magalhães, 173, Cristo Rei - Curitiba
                ","Aluguel R$ 2.090,00 Condomínio R$ 447,00 Seguro Incêndio R$ 26,26Total R$ 2.563,26","38 m², 1 banheiro, 1 quarto","
                          Apartamento com
                          1 quarto
                          no Bairro Cristo Rei
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Excelente Apartamento, primeira locação mobiliado, a poucos metros do Jardim Botânico, contendo:Sala com sofá, Rack, mesa, cadeirasCozinha com armários planejados, cooktop, geladeira, máquina de lavar roupasQuarto com armário planejado, cama de casal, mesas de cabeceiraBanheiro social com armário, espelho e box de vidroImóvel totalmente reformado, com todos os armários e utensílios em estado novo.Vantagens:Excelente localização próximo a diversas faculdades, com ótima mobilidade urbana e fácil acesso ao centro.Proximidades:Jardim Botânico, UTFPR, Hospital CajuruInformações Adicionais:Aquecimento: ElétricoÁrea total: 38m²Área privativa: 27m²Garagem: não CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Xaxim em Curitiba, 180 m²
              ","
                Rua Barão De Santo Ângelo, 107, Xaxim - Curitiba
                ","Aluguel R$ 2.075,00 Seguro Incêndio R$ 55,53Total R$ 2.130,53","180 m², 1 banheiro, 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Xaxim
                      Imóvel com gestão exclusiva ApolarMorar no Bairro Xaxim tem suas características entre elas muitas vantagens. Oferece uma experiência única unindo comodidade e praticidade que são algumas das características da região . O Bairro geralmente oferecem uma vida mais prática. O bairro Xaxim é estrategicamente localizado, com acesso fácil a várias partes da cidade.Características: Ótima casa piso Superior .Sala arejada, piso em cerâmica;A cozinha com bancada em granito, passa prato;Área de serviço separada da cozinha com tanque;O Banheiro, louça em cerâmica;Dois dormitórios, piso em cerâmica; Garagem para um carro.Imóvel Novo.Vantagens:Ótima localização. Você pode encontrar praticamente tudo o que precisa a uma curta distância. Sua localização pode ser conveniente, pois está próxima a várias comodidades, como lojas, restaurantes, supermercados e transporte público. Isso facilita o acesso a diversas atividades e serviços.Proximidades:Park Shopping Boulevard, Assaí AtacadistaInformações Adicionais:Área total: 180m²Área útil: 70m²Garagem: sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Vila Izabel em Curitiba, 90 m²
              ","
                Rua Bororós, 252, Vila Izabel - Curitiba
                ","Aluguel R$ 2.050,00 Condomínio R$ 500,00 Seguro Incêndio R$ 34,45Total R$ 2.584,45","90 m², 1 banheiro, 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Vila Izabel
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Excelente apartamento todo reformado, a poucos metros do Shopping Água Verde, Supermercado Festval, rua tranquila, contendo:Sala para dois ambientes, pantográficas;Cozinha com armários;LavanderiaBwc social com box de vidro, pia e espelho.03 dormitórios com armários.Uma vaga de Garagem.Vantagens:Apartamento em excelente localização, próximo a mercado, shopping, hospital, farmácias, ônibus, lotérica. Ótima mobilidade urbana e fácil acesso ao centro.Proximidades: Supermercado Festval, Shopping Água Verde.Informações Adicionais:Andar: 2Aptos por andar: 2Aquecimento: elétricoÁrea total: 90m2Área privativa: 84m2Elevador: nãoEdifício: PalermoGaragem: Sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Bigorrilho em Curitiba, 91 m²
              ","
                Rua Bruno Filgueira, 1873, Bigorrilho - Curitiba
                ","Aluguel R$ 2.000,00 Condomínio R$ 380,00 Seguro Incêndio R$ 35,63Total R$ 2.415,63","91 m², 1 vaga, 2 quartos","
                          Apartamento com
                          2 quartos
                          no Bairro Bigorrilho
                      Imóvel com gestão exclusiva ApolarExcelente apartamento com piso laminado, localizado no bairro Bigorrilho na região de Curitiba, contendo;- Sala ampla.- Cozinha planejada com pia tampo em granito. - Área de serviço com tanque e armário.- 2 Dormitórios com moveis planejados, sendo 1 de solteiro e um de casal.- Bwc social com armário e pia- Vaga de Garagem N 14 CRECI: J-00158"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Portão em Curitiba, 74 m²
              ","
                Rua Amadeu Do Amaral, 1648, Portão - Curitiba
                ","Aluguel R$ 2.000,00 Condomínio R$ 326,00 Seguro Incêndio R$ 30,94Total R$ 2.356,94","74 m², 1 banheiro, 1 vaga, 3 quartos","
                          Apartamento com
                          3 quartos
                          no Bairro Portão
                      Imóvel com gestão exclusiva ApolarMorar no bairro Portão, em Curitiba, oferece uma experiência residencial marcada por uma atmosfera tranquila, infraestrutura completa e uma comunidade acolhedora. O bairro oferece uma qualidade de vida equilibrada, onde os moradores podem desfrutar da tranquilidade do ambiente residencial, mas ainda têm acesso fácil a serviços e atividades urbanas.Características:Ótimo apartamento com excelente iluminação natural , ensolarada no bairro Portão.Os destaques deste imóvel são: Sala ampla e iluminada com painel para TV, espelho que da amplitude no ambiente, cortinas corta luz, teto rebaixado com iluminação estratégica;Copa com balcão;Cozinha toda equipada com armários planejados, pia, Cooktop, micro-ondas, geladeira, piso em cerâmica, oferecendo praticidade e organização;Três dormitórios, com piso laminado, cortinas, um dos dormitórios sendo closet;Banheiro com armário, espelho, louca e box de vidro, atendendo às necessidades dos moradores e visitantes;Área de serviço separada da  cozinha, com tanque, armário, varal de teto, toda revestida em cerâmica, garantindo praticidade nas tarefas do dia a dia.Uma vaga de garagem, oferecendo segurança e comodidade para estacionar o veículo. Vantagens:Ótima localização. A região é bem servida de  mercados, farmácias, colégios e outros comércios. Mobilidade urbana diferenciada, com ônibus parando próximo a apartamento, ensolarado e ventilado.Área Comum: Garden Proximidades: Capela Nossa Senhor Auxiliadora, Academia PHD.Informações Adicionais:Área privativa: 74,13m²Área total: 54,06m²Elevador: nãoEdifício: AmadeusAndar: 4°Garagem: sim**Valor de iptu 2024 ainda não disponível, será lançado assim que for disponibilizado** CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cascatinha em Curitiba, 92 m²
              ","
                Rua Prof. Francisco Basseti Júnior, 703, Cascatinha - Curitiba
                ","Aluguel R$ 2.000,00 Condomínio R$ 415,42 Seguro Incêndio R$ 35,63Total R$ 2.451,05","92 m², 2 banheiros, 1 vaga, 2 quartos, pet","
                          Apartamento com
                          2 quartos
                          no Bairro Cascatinha
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Descubra o conforto e a elegância neste apartamento,  situado no prestigiado bairro de Santa Felicidade. A localização é privilegiada, a poucos metros da Universidade Tuiuti, postos de gasolina, panificadoras, restaurantes e do parque Barigui.  O apartamento dispõe de:Dois dormitórios sendo uma suíteSala CozinhaChurrasqueiraBanheiroApartamento garden com área externa muito espaçosa e coberta,  ideal para seu lazer e conforto.Vantagens:Ótima localização, a região é bem servida de  mercados, farmácias, bancos, colégios e outros comércios. Área Comum:    • Academia    • Área de serviço    • Churrasqueira    • Cozinha    • Elevador    • Interfone    • Mobiliado    • Quintal    • Salão de festas    • Varanda    • Varanda gourmetProximidades:  Universidade Tuiuti, Parque BariguiInformações Adicionais:Andar: térreoAquecimento: gásÁrea total: 92,18m²Área privativa:  53,56m²Elevador: simEdifício: Tulio IVEntre Ruas: Nicolau José Gravina e R. Candido HartmannGaragem: sim**SEM VALOR DE IPTU LANÇADO - AGUARDANDO COMPETÊNCIA DE 2024** CRECI: J-04232"
Apolar,2024-02-09,"
","
                , ,  - 
                ",,,
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Cabral em Curitiba, 85 m²
              ","
                Rua Cel Amazonas Marcondes, 250, Cabral - Curitiba
                ","Aluguel R$ 2.000,00 Condomínio R$ 455,79 Seguro Incêndio R$ 33,28Total R$ 2.489,07","85 m², 1 banheiro, 1 vaga, 2 quartos, pet","
                          Apartamento com
                          2 quartos
                          no Bairro Cabral
                      Imóvel com gestão exclusiva ApolarCaracterísticas:Excelente Apartamento no bairro Cabral, em localização privilegiada, contendo:Sala ampla para dois ambientesCozinhaLavanderia individualwc social com box2 dormitórios amplos com armáriosImportante: Todos os móveis e eletros sairão do imóvel após a locação, ficando somente armários dos dormitórios.Vantagens:Apartamento amplo e arejado, condomínio está próximo a uma variedade de opções de lazer, compras e serviços. Com fácil acesso a importantes vias da cidade.Proximidades:Próximo ao Carrefour Avenida Paraná, terminal do Cabral.Informações Adicionais:Aquecimento: elétricoÁrea total: 85 m2Informações Adicionais:Aquecimento: ElétricoElevador: simÁrea total: 85 m2Área privativa: 55 m²Entre Ruas: Canadá e NicaraguaGaragem: Sim CRECI: J-04232"
Apolar,2024-02-09,"
                Apartamento Residencial para Locação no Campina Do Siqueira em Curitiba, 49 m²
              ","
                Rua André Kaviski, 136, Campina Do Siqueira - Curitiba
                ","Aluguel R$ 2.000,00 Condomínio R$ 410,00 Seguro Incêndio R$ 26,26Total R$ 2.436,26","49 m², 1 quarto","
                          Apartamento com
                          1 quarto
                          no Bairro Campina Do Siqueira
                      Imóvel com gestão exclusiva ApolarCaracterísticas:- Lindo apartamento com excelente localização, no bairro campina do Siqueira - Contendo: Sala  para dois ambientes com piso cerâmico, com saída para sacada  - Cozinha com armários sob medida, bancão com tampa em granito, fogão cooktop, conjugada com área de serviço - 1 Dormitório com piso cerâmico, armários, sendo suite, bwc com box de vidro, espelho   Vantagens:Local seguro.Região com toda infraestrutura de transportes, serviço e área comercialÁrea comum:Portão eletrônicoSalão de festas Espaço com churrasqueira  Proximidades:Loja Daju Escola estadual Padre olímpio de souza  Ford Barigui Informações Adicionais:Área total: 49,94  m²Área privativa: 35,54 m²Suite: Sim  Aquecimento: Elétrico  Elevador: Sim Garagem: Não   CRECI: J-00158"
